topic0,dollar,new,york,street,tim,of,wall,weltweit,firma,bundesstaat,wert,sach,reich,vereinigt,the,kaliforni,washington,amerika,cent,berichtet,goldman,firm,global,sec,group,journal,los,manag,gehort,zufolg,world,milliardar,corp,bloomberg,vermog,nam,america,insgesamt,american,verdient,inc,ge,zahlt,morgan,financial,investor,and,murdoch,foto,disney,angel,verlor,news,investmentbank,geschicht,chicago,at,san,zusamm,boston,gegrundet,fuhrend,septemb,je,gehor,magazin,vergleich,borsenaufsicht,ging,schrieb,setzt,darunt,texas,list,city,general,summ,sri,kauft,lynch,weltgrosst,buffett,pro,zuvor,bill,trad,analyst,tamil,first,stanley,merrill,co,deal,verkauft,francisco,inzwisch,nachd,offenbar,ausserd,teilt
topic47,israel,palastinens,arab,syri,agypt,arafat,jerusal,hamas,gaza,nah,syrisch,netanjahu,kairo,assad,scharon,saudi,westjordanland,judisch,libanon,arabi,nahost,arme,streif,fried,gebiet,ost,aussenminist,israelis,hisbollah,tel,abbas,isral,friedensprozess,siedlung,libanes,aviv,ministerprasident,mubarak,besetzt,damaskus,soldat,jordani,katar,krieg,premi,fuhr,barak,el,gewalt,per,stadt,grenz,islam,plo,regim,angriff,regierungschef,konflikt,radikal,ruckzug,organisation,region,kampf,olmert,seit,gazastreif,besuch,scheich,fordert,beirut,beginn,fatah,premierminist,saudisch,treff,ariel,mitglied,waffenruh,unterstutz,ramallah,abzug,jassir,zuvor,abu,baschar,riad,plan,autonomiebehord,ehud,hebron,emirat,jem,palastinenserprasident,militar,getotet,likud,washington,raket,reis,abkomm
 ,0.063,0.032,0.014,0.014,0.014,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic48,hamburg,bad,cdu,westfal,bay,stadt,ministerprasident,nordrhein,sachs,bundesland,dusseldorf,spd,stuttgart,niedersachs,koln,bund,bayer,landtag,brandenburg,hess,brem,kommun,thuring,rheinland,leipzig,landesregier,anhalt,dresd,schleswig,holstein,npd,burgermeist,kiel,gemeind,hannov,bundesweit,hessisch,pfalz,wurttemberg,innenminist,sachsisch,nrw,mainz,vorpomm,potsdam,burg,saarland,oberburgermeist,kommunal,wiesbad,magdeburg,erfurt,kreis,bayern,rhein,ap,schwerin,rechtsextrem,freistaat,region,landkreis,inland,teufel,biedenkopf,minist,dortmund,staatskanzlei,kretschmann,rechtsextremist,verein,munst,nord,oetting,saarbruck,grun,pfalzisch,rostock,schill,verfassungsschutz,sudw,duisburg,lubeck,kanth,laut,landtagswahl,ruhr,clement,rot,hall,einwohn,wirtschaftsminist,platz,rathaus,gefuhrt,mappus,heid,bestatigt,ruhrgebiet,elb,regiert
 ,0.035,0.023,0.021,0.021,0.02,0.019,0.019,0.018,0.016,0.015,0.015,0.014,0.014,0.014,0.012,0.012,0.012,0.01,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001
topic49,tatsach,unterschied,genau,beispiel,einzeln,roll,gefahr,eher,ergebnis,darub,bestimmt,zumind,lasst,durchaus,bedeut,interess,dah,ahnlich,haufig,art,folg,sinn,grundsatz,gleich,besteht,zeigt,probl,namlich,gar,darin,thema,meinung,liegt,wohl,sicht,oft,daran,andererseit,wesent,richtig,beispielsweis,bewert,daraus,erfahr,erkenn,schliesslich,aktuell,expert,uberhaupt,eindeut,ebenso,analys,seh,fuhr,vielmehr,eben,gewiss,gering,allgemein,falsch,dennoch,nehm,betracht,stellt,wiss,verhalt,sogenannt,vollig,bedeutet,spielt,handelt,verschied,erheb,sollt,letztlich,relativ,beobacht,schwer,blick,wahrschein,einerseit,form,gelt,risiko,diskussion,argument,lieg,lini,hingeg,eigent,zweifel,gegenub,einfluss,bild,dadurch,vermut,einfach,mass,kritisch,zusammenhang
 ,0.009,0.009,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,wohl,bleibt,lasst,gar,gerad,zumind,tatsach,schlecht,schnell,eigent,ohnehin,schwer,wirklich,schliesslich,scheint,daran,endlich,niemand,genug,mag,immerhin,chanc,probl,jedenfall,hoffnung,einfach,namlich,genau,bring,hand,freilich,uberhaupt,bald,liegt,tun,sach,bleib,braucht,vielleicht,nachricht,druck,ausgerechnet,versuch,schlimm,dennoch,womog,gleich,eben,problem,diesmal,all,richtig,darf,erfolg,zumal,liess,spiel,versprech,eher,verli,paar,schwierig,sorg,zukunft,wiss,einzig,fehlt,inzwisch,sicht,vorbei,plotzlich,furcht,glaubt,offenbar,droht,zeigt,versucht,fehl,hart,wart,statt,blick,zweifel,wund,angesicht,durchaus,obwohl,gegenteil,zieh,zeig,arg,trotzd,spricht,steckt,wenigst,gewiss,gerat,wiederum,ziemlich,gelingt
 ,0.012,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic51,kund,mark,firma,umsatz,produkt,verkauf,handel,handl,lad,verkauft,grupp,branch,filial,karstadt,geschaftsfuhr,metro,preis,herstell,quell,einzelhandel,kett,einkauf,dusseldorf,familienunternehm,koln,mitarbeit,nam,henkel,angebot,inzwisch,discount,gegrundet,kauf,gehor,mod,knapp,gehort,aldi,rew,eroffnet,konkurrenz,hamburg,setzt,supermarkt,anbiet,firm,haus,billig,warenhaus,design,schuh,kaufhof,middelhoff,konkurrent,trend,neb,verbrauch,marktanteil,marketing,kauft,edeka,media,sortiment,beschaftigt,eroffn,kaufhaus,gleich,marktfuhr,schleck,wal,buch,arcandor,einzelhandl,weltweit,lidl,boss,ausland,vertrieb,mcdonald,wettbewerb,ess,meint,zuletzt,lieferant,bestell,uhr,qualitat,erfolg,teur,eigentum,betreibt,standort,saturn,expansion,ikea,praktik,mart,tengelmann,konzern,amazon
 ,0.012,0.012,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic52,bahn,bau,zug,projekt,fahr,strass,kilomet,verkehr,streck,fahrt,stadt,kost,db,stund,schien,autobahn,plan,mehdorn,maut,auftrag,ausbau,schnell,bund,pro,autofahr,privat,adac,lkw,verkehrsminist,bahnhof,verbind,bislang,bruck,auto,betrieb,buss,ice,stuttgart,flughaf,eisenbahn,uber,infrastruktur,unfall,problem,gdl,gebaut,betreib,technisch,netz,zustand,transrapid,laut,teur,minut,transport,statt,nahverkehr,lokfuhr,lastwag,bundesverkehrsminist,fest,ausschreib,zusatz,baustell,planung,tunnel,rad,erheb,privatisier,ziel,fuhr,fahrgast,dobrindt,bring,vorhab,angebot,lini,verspat,tiefense,sech,schwer,unterweg,mindest,stellt,fahrverbot,gesamt,punktlich,grenz,gefahr,lieg,syst,bus,toll,autos,ausserd,hans,verkehrspolit,acht,taglich,richtung
 ,0.034,0.016,0.015,0.013,0.012,0.008,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic53,haus,stadt,paar,leut,ort,bild,stund,uhr,hand,met,leb,rot,nacht,erzahlt,platz,besuch,raum,gerad,strass,seh,gast,morg,buro,mann,abend,gebaud,liegt,tur,blau,nah,wand,hotel,sitz,einfach,oft,lasst,sitzt,wass,minut,mitt,hundert,halb,stand,entfernt,uberall,aug,fenst,kunst,stuck,tragt,vorbei,kopf,voll,ess,gleich,leer,farb,kalt,gesicht,natur,riesig,find,nam,trag,weiss,blick,stolz,reich,bod,grau,schwarz,lieb,fahrt,findet,fotos,dorf,neb,art,schliesslich,tausend,hall,drauss,modern,tief,hoch,bald,licht,fuss,all,bunt,braucht,haar,oben,ide,traum,genau,park,restaurant,heiss,luft
 ,0.01,0.008,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic54,preis,dollar,ol,je,pro,gold,tonn,weltweit,olpreis,nachfrag,rohstoff,cent,kostet,norweg,hoch,basf,teur,knapp,barrel,billig,bp,lit,steig,opec,niedrig,london,fass,steigend,produktion,shell,gestieg,expert,benzin,erreicht,schaeffl,zuletzt,druck,tankstell,erhoh,erdol,elf,conti,liegt,stahl,stand,steigt,inzwisch,erhoht,forder,folg,angebot,lieg,verbrauch,meng,wert,gefall,tief,rohol,continental,gas,konzern,teu,kost,tank,edelmetall,preiserhoh,angesicht,zunehm,drittel,sieb,raffineri,sech,wachsend,rechn,halft,taglich,sort,durchschnitt,reserv,gering,organisation,produzent,kraftig,trotz,golf,leicht,erwartet,pfennig,brent,sorg,gunstig,erwart,benzinpreis,abhang,kupf,metall,vorrat,weltmarkt,total,jahrlich
 ,0.045,0.029,0.016,0.015,0.013,0.011,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic55,entwickl,ziel,wettbewerb,zukunft,bereich,firm,industri,projekt,chanc,erfolg,gemeinsam,global,weltweit,schaff,beispiel,mittelstand,investition,entwickelt,konzept,schnell,bedeut,strategi,gesellschaft,zunehm,erfolgreich,struktur,zusammenarbeit,langfrist,nachhalt,produkt,branch,entwickeln,forschung,gerad,region,ide,innovation,partn,kooperation,ausland,aufbau,konkurrenz,notwend,herausforder,wachstum,breit,technisch,dienstleist,technologi,modern,entsteh,zentral,setz,investi,eng,verander,beispielsweis,thema,verstarkt,best,wandel,vorteil,ausbau,aufgab,regional,besteh,effizient,erreich,brauch,verbess,wachs,nutz,geschaff,schritt,wachsend,fortschritt,programm,mittl,infrastruktur,wettbewerbsfah,initiativ,zusamm,einzeln,roll,wesent,system,organisation,qualitat,strateg,insbesond,gehor,losung,biet,profiti,innovativ,arbeitsplatz,klein,engagement,gleichzeit,setzt
 ,0.013,0.01,0.009,0.009,0.009,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic56,bonn,ost,kohl,west,bundesregier,ddr,bundeskanzl,amt,ostdeutsch,bundesprasident,kanzl,betont,bundesrepubl,ehemal,stasi,ostdeutschland,einheit,ap,auswart,rau,gauck,sprach,meint,fordert,nannt,bleib,staatssekretar,vorsitz,wort,indonesi,notwend,gegenub,bezeichnet,aufbau,kinkel,wend,bedeut,westdeutsch,forder,sed,wies,gegeb,bundesland,heutig,darub,ansicht,interess,indones,woll,ruh,fest,gefordert,rexrodt,zusammenhang,ministerium,bundestag,person,aufgab,sollt,jakarta,anlass,trotz,durf,stellt,auffass,erneut,gemacht,besteh,einschatz,insbesond,verantwort,gegenwart,darstell,wiederverein,angesicht,akt,ausgesproch,kanzleramt,vorstell,verhaltnis,zustand,roll,gestellt,zukunft,zunach,verfug,diskussion,vertret,ausserd,zugleich,beitrag,gefuhrt,stolp,erheb,weiterhin,leipzig,erklar,bestatigt,unterschied,topf
 ,0.061,0.03,0.026,0.018,0.018,0.017,0.013,0.011,0.011,0.011,0.01,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic57,gesellschaft,burg,sozial,demokrati,blick,gefahr,angst,freiheit,reich,gerecht,gewalt,krieg,press,arm,schwach,kris,wirklich,debatt,moral,interess,leb,geword,braucht,geschicht,jahrzehnt,tun,syst,okonom,inn,schreibt,verantwort,jahrhundert,all,zukunft,lasst,darf,zeigt,wert,vertrau,marktwirtschaft,reform,gerad,histor,kampf,nation,niemand,west,folg,grenz,tief,verhaltnis,gewiss,wohlstand,revolution,bevolker,demokrat,oft,fried,mag,glaub,kapitalismus,kommentiert,gefuhl,mass,nie,verstand,red,zeig,versuch,vernunft,radikal,kultur,bedroh,problem,ordnung,konflikt,globalisier,bleibt,daran,auss,furcht,verlor,beweg,falsch,antwort,einfluss,ide,alternativ,amerika,verli,modern,hoffnung,mut,wahrheit,handeln,ideolog,realitat,begriff,statt,kalt
 ,0.009,0.009,0.008,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic58,russland,russisch,moskau,ukrain,putin,jelzin,russ,wladimir,nato,tschetscheni,west,kreml,kiew,georgi,westlich,region,unabhang,tschetschen,gazprom,sowjetunion,republ,krieg,nachrichtenagentur,konflikt,ost,sowjet,fuhrung,zusammenarbeit,bezieh,weissrussland,ausland,krim,aussenminist,hauptstadt,moskaus,litau,medwedjew,grosny,separatist,meldet,kaukasus,ehemal,petersburg,interfax,kampf,bulgari,janukowitsch,offiziell,pipelin,gebiet,ministerprasident,duma,zufolg,besuch,kommunist,michail,minsk,agentur,osz,staatlich,unterzeichnet,medi,grenz,interess,osteuropa,nah,strateg,vertrag,lukaschenko,sprach,yukos,georgisch,afp,gas,eng,oligarch,schwer,berichtet,seit,tschernomyrdin,sanktion,unterstutz,bulgar,kalt,aserbaidschan,st,kontroll,partnerschaft,weissruss,estland,tschetsch,kasachstan,kris,lettland,gorbatschow,offenbar,donnerstag,organisation,staatschef,timoschenko
 ,0.063,0.054,0.035,0.021,0.019,0.012,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001
topic59,vorstand,post,aufsichtsrat,manag,nachfolg,mitglied,spitz,verantwort,vorsitz,amt,zustand,geschaftsfuhr,beruf,vorstandschef,jahrig,aufgab,bisher,ehemal,personali,vorstandsvorsitz,ubernehm,wechsel,berat,leit,vorstandsmitglied,tatig,sz,fuhrung,stellvertret,zuletzt,ubernimmt,vorgang,leitet,person,wechselt,foto,konzern,vertret,aufsichtsratschef,rucktritt,gremium,verlass,langjahr,ex,hauptversamml,management,uberrasch,fuhrungskraft,bereich,tritt,position,vertrag,verwaltungsrat,konz,ruhestand,aufsichtsratsvorsitz,gehalt,mitarbeit,ausscheid,top,funktion,arbeitet,mai,gehort,ernannt,erfahr,finanz,zuvor,finanzvorstand,ubernomm,leitung,verlasst,besetz,konzernchef,teilt,brief,januar,fuhrt,finanzchef,vertraut,bestellt,april,gewahlt,kandidat,wirkung,gefuhrt,lost,intern,ressort,zentral,offenbar,ablos,zuruckgetret,wunsch,sitzung,bleibt,neb,folgt,besetzt,sitz
 ,0.032,0.029,0.023,0.022,0.018,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
