topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
 ,0.051,0.026,0.022,0.022,0.02,0.016,0.014,0.013,0.012,0.012,0.012,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic139,airbus,boeing,ead,flugzeug,auftrag,luft,maschin,werft,dasa,bestell,vulkan,bestellt,system,projekt,bombardi,satellit,herstell,industri,jet,raumfahrt,flugzeugbau,franzos,programm,bau,zivil,konz,drohn,entwickl,sitz,ausgeliefert,aerospac,eurofight,konsortium,typ,rheinmetall,dorni,mtu,luftfahrt,flugzeugherstell,triebwerk,bae,konkurrent,beteiligt,produktion,fokk,typs,start,bislang,gallois,schiffbau,technisch,modell,lagardèr,liefer,roll,grossauftrag,ausliefer,kund,version,toulous,hdw,maffei,galileo,gebaut,problem,fairchild,technologi,rustungskonz,entwickelt,flieg,partn,thal,insgesamt,diehl,forgeard,atlas,wert,kampfflugzeug,militar,beschaff,erstmal,hubschraub,raumfahrtkonz,tocht,verbund,neb,lockheed,bereich,verzoger,spac,lief,verkauf,raket,luftwaff,rustung,konkurrenz,dassault,rustungsindustri,baut,werk
 ,0.042,0.023,0.023,0.022,0.02,0.014,0.014,0.011,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic140,tod,tot,leb,opf,gestorb,schwer,ums,starb,mann,gekomm,getotet,verletzt,angehor,leich,jahrig,sterb,mindest,nah,krankenhaus,berichtet,erschoss,gefund,todlich,sri,erlitt,tamil,famili,selbstmord,nacht,gebracht,schuss,verantwort,haus,mord,untersuch,verletz,ermordet,uberleb,ungluck,vermisst,tat,uberfall,grab,trau,lanka,vermut,zunach,hundert,unfall,entdeckt,verstorb,massak,kopf,vorfall,sech,sterbehilf,tausend,samstag,uberlebt,frau,nachd,zuvor,gefall,totung,tragodi,getroff,feu,rach,verlor,offenbar,geschoss,stirbt,sprach,witw,beerdig,colombo,acht,unbekannt,absturz,genomm,trauerfei,panorama,sieb,lebend,ereignet,nahm,dorf,ort,verbrannt,hinterblieb,person,geseh,tragisch,sarg,friedhof,umstand,kind,handelt,sohn,neun
 ,0.037,0.037,0.035,0.023,0.016,0.015,0.015,0.014,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic141,telekom,kund,netz,mobil,vodafon,anbiet,mannesmann,mobilfunk,internet,wettbewerb,telekommunikation,bonn,handy,telecom,schnell,mobilcom,at,umt,plus,anschluss,lizenz,franc,tocht,konkurrent,call,angebot,dien,gesprach,dsl,telefoni,kabel,festnetz,telefon,télécom,servic,tarif,regulierungsbehord,zugang,sms,obermann,bt,mobilfunkanbiet,telephon,rick,minut,numm,freenet,telefongesellschaft,sprint,technik,konkurrenz,betreib,viag,handys,nutz,arcor,firm,ausbau,netzbetreib,telefónica,kpn,konz,debitel,technisch,dusseldorf,leitung,bell,anruf,verbind,gesellschaft,monopolist,global,preis,mobilfunknetz,communication,privat,wireless,infrastruktur,orang,telekommunikationsmarkt,interkom,pro,mci,investition,konzern,verfug,bislang,botsch,biet,bietet,nutzung,surf,telekommunikationsunternehm,haushalt,vertrag,otelo,ubertrag,telefonica,by,united
 ,0.08,0.018,0.016,0.016,0.016,0.015,0.015,0.011,0.011,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic142,geheimdien,ausschuss,behord,akt,information,bnd,untersuchungsausschuss,dokument,mitarbeit,beamt,geheim,dien,cia,stasi,affar,unterlag,angeb,aufklar,agent,verfassungsschutz,vorwurf,damal,aussag,nsa,kontakt,zeug,verdacht,ehemal,untersuch,offenbar,vertraulich,informiert,erkenntnis,berichtet,hinweis,material,bundesnachrichtendien,tatig,person,spionag,snowd,enthull,spion,zustand,wiss,nam,vorgang,parlamentar,abgeordnet,auftrag,quell,verrat,journalist,beleg,beweis,gegeb,ministerium,ermittl,vernehm,papi,abteil,mail,intern,befrag,leut,kurnaz,erfahr,informant,gewusst,list,nachrichtendien,bundesamt,behauptet,wusst,fbi,skandal,veroffentlich,mann,protokoll,detail,gehabt,kanzleramt,leit,wikileak,gremium,edathy,suddeutsch,amt,gearbeitet,veroffentlicht,abgehort,zugang,ex,brisant,staatssich,bestreitet,aktion,eingesetzt,maass,telefonat
 ,0.022,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic143,amt,nachfolg,minist,rucktritt,post,kandidat,kabinett,bisher,amtszeit,vorsitz,stellvertret,spitz,jahrig,wahl,gewahlt,staatssekretar,vorgang,zuruckgetret,ehemal,zustand,aufgab,viz,ex,ernenn,ernannt,besetz,person,finanzminist,beruf,tritt,ubernehm,mitglied,regierungschef,vertraut,designiert,ministerium,ressort,wechsel,innenminist,kandidatur,inn,vizeprasident,generalsekretar,amtier,scheidend,antret,ruckzug,uberrasch,wirtschaftsminist,nominiert,woll,zurucktret,bleib,vertret,ubernimmt,oberst,ministeri,auss,besetzt,galt,berat,nominier,langjahr,bestatigt,fuhrung,funktion,leitet,trat,position,offiziell,finanz,ausscheid,eng,ablos,einflussreich,kandidi,gehandelt,bewerb,behalt,justizminist,personali,entschied,einfluss,amtsantritt,ministerin,affar,aussenminist,nachfolgerin,kompetenz,favorit,nachd,vorzeit,vereidigt,personell,verantwort,parteilos,wiederwahl,roll,nam,verzichtet
 ,0.069,0.035,0.035,0.027,0.021,0.017,0.016,0.014,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic144,opel,motor,autos,ford,gm,werk,herstell,fahrzeug,modell,general,autoherstell,produktion,fiat,autobau,verkauft,fabrik,auto,renault,konz,mark,absatz,toyota,zulief,autoindustri,verkauf,detroit,chrysl,bmw,marktanteil,konzern,weltweit,nissan,russelsheim,pkw,peugeot,tocht,produziert,audi,magna,wag,fertig,gebaut,bau,psa,kund,saab,automarkt,autokonzern,autokonz,band,einheit,manag,stuck,gelandewag,automobilindustri,volkswag,bochum,kleinwag,produzi,konkurrent,marchionn,autozulief,vw,handl,nachfrag,nordamerika,vda,baut,automobil,ghosn,westeuropa,citroën,branch,automobilherstell,zukunft,konkurrenz,kapazitat,karmann,standort,automotiv,honda,jaguar,entwickl,neuzulass,gefertigt,autobranch,qualitat,hergestellt,wettbewerb,golf,plan,verkaufszahl,ruckruf,lief,verlust,hyundai,lieferant,stuckzahl,china,middot
 ,0.034,0.026,0.026,0.025,0.022,0.021,0.019,0.018,0.017,0.016,0.014,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic145,tv,fernseh,send,spring,kirch,sieb,medi,pro,programm,ard,grupp,rtl,media,premi,sat,zdf,murdoch,fernsehs,em,sendung,verlag,digital,kanal,medienunternehm,film,news,medienkonz,vivendi,radio,zuschau,pay,rundfunk,rechtlich,group,bild,ubertrag,werbung,kabel,munchn,universal,gehor,sky,emi,gutersloh,burda,privat,box,liv,medienkonzern,beteiligt,seri,ebenfall,dopfn,offenbar,empfang,gehort,bmg,kofl,agentur,mohn,multimedia,angebot,tim,geschaftsfuhr,viva,gesellschaft,seh,konzern,teilt,music,konz,zeitschrift,haffa,bislang,kinowelt,zusamm,ausgestrahlt,internet,saban,ausstrahl,fox,inhalt,ausserd,verlagsgrupp,vermarkt,konkurrenz,knapp,spot,moderator,abonnent,neb,turn,sony,world,mediengrupp,privats,waz,konkurrent,canal,unabhang
 ,0.045,0.03,0.027,0.019,0.018,0.013,0.013,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic146,plan,widerstand,versuch,gescheitert,bislang,druck,verhind,bring,scheit,versucht,vorhab,offenbar,off,ziel,chanc,scheitert,bleib,wollt,bedenk,sollt,daran,befurcht,setz,seh,ide,vorstoss,droht,lehn,ablehn,trotz,schritt,stosst,liess,verzicht,massiv,zustimm,fuhr,anlauf,absag,furcht,vorerst,nehm,mocht,angesicht,unterstutz,alternativ,ohnehin,stopp,sorg,stoss,stattdess,setzt,skeptisch,durchsetz,erteilt,erreich,losung,heftig,befurchtet,umstritt,woll,schaff,zuletzt,notig,furchtet,and,weiterhin,durchzusetz,drang,ebenfall,blieb,verhindert,uberzeug,zunach,hoff,vollig,bekomm,angekundigt,zieh,hofft,beweg,bleibt,interess,beding,aufgegeb,darum,zweifel,skepsis,aufgeb,genug,herb,notfall,zumind,festhalt,plant,dennoch,vorstell,sicht,such,kipp
 ,0.063,0.03,0.025,0.016,0.013,0.012,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic147,kund,verbrauch,kart,gebuhr,verbraucherschutz,verbraucherzentral,konto,anbiet,bezahl,oft,schein,automat,munz,berat,rat,uberweis,bargeld,kreditkart,kostenlos,betrag,sollt,rechnung,angebot,beispiel,haufig,vertrag,einfach,kost,regel,nutz,bundesverband,numm,bezahlt,bitcoin,umstell,beispielsweis,warent,verlang,gar,genau,bekomm,telefon,einfuhr,betrug,kont,zahlt,servic,anruf,direkt,geldautomat,falsch,syst,biet,sofort,dienstleist,bekommt,schnell,banknot,zahlung,bar,girokonto,gleich,sogenannt,bankkund,dah,ausserd,handl,abheb,umlauf,zusatz,ec,informi,wechseln,kass,burg,visa,formular,empfiehlt,verschied,vorteil,provision,bestimmt,kostet,lasst,mocht,elektron,jeweil,innerhalb,einkauf,verlangt,wahrung,not,scheck,arg,summ,test,schufa,wechsel,wiss,stiftung
 ,0.061,0.014,0.014,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic148,gemeinsam,zusammenarbeit,partn,eng,kooperation,allianz,partnerschaft,zusamm,interess,ziel,bundnis,strateg,beteiligt,verbund,beteil,schritt,off,bezieh,verbind,zukunft,gesprach,roll,bedeut,jeweil,unterschied,such,aufbau,gegenseit,kooperi,betont,besteh,projekt,miteinand,neb,position,einheit,sowohl,zunach,vorstell,vereinbar,strategi,basis,rahm,eigenstand,ausserd,grundung,entwickl,geschloss,entwickeln,verstarkt,bleib,hinaus,verschied,nah,konkret,gegenub,darub,daran,schaff,intensiv,ausbau,gefuhrt,getrennt,gehor,verhaltnis,unabhang,plan,bereich,ubernehm,aktiv,streb,chanc,unterzeichnet,interessiert,kooperiert,angestrebt,vereinbart,regional,entsprech,schliess,strebt,klein,direkt,integration,schwierig,innerhalb,vorteil,verbess,wollt,mocht,denkbar,option,langfrist,bind,zentral,form,erganz,struktur,schliesst,verstark
 ,0.082,0.05,0.049,0.032,0.031,0.021,0.018,0.016,0.013,0.013,0.012,0.012,0.011,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic149,betont,hinzu,ziel,woll,fugt,kundigt,notwend,bleib,schritt,nannt,zugleich,erreich,bezeichnet,sprach,wort,weiterhin,stellt,aussert,meint,besteh,raumt,bedeut,bekraftigt,insbesond,darub,ansicht,gesprach,begrusst,konkret,zeigt,fest,zusammenhang,sowohl,erreicht,gegenub,voll,voraussetz,kommend,gelt,bisher,beitrag,verwi,wies,fuhr,seh,hinaus,ledig,gegenwart,hervor,gegeb,erwart,ausdruck,verfug,positiv,trotz,fortsetz,versichert,gestellt,einschatz,auffass,angesicht,erfolg,ausserd,erford,beding,uberzeugt,entsprech,unterstrich,hob,gleichzeit,laut,setz,zufried,vorstell,erneut,grundsatz,rahm,vielmehr,darstell,mach,vorrang,massnahm,off,zuversicht,aussicht,lieg,ausschliess,erlautert,bemuh,anstreng,schaff,angestrebt,lobt,schwierig,vollstand,gegensatz,fern,ausreich,erstmal,umfass
 ,0.047,0.026,0.026,0.022,0.02,0.015,0.014,0.014,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic150,reform,sozial,gerecht,burg,gesellschaft,marktwirtschaft,wirtschaftspolit,syst,notwend,agenda,aufgab,zukunft,radikal,sozialstaat,schaff,debatt,staatlich,okonom,statt,verander,ford,programm,burokrati,fordert,verantwort,grundleg,sozialpolit,problem,ide,arbeitslos,umbau,notig,abschaff,arbeitsplatz,brauch,richtig,ziel,kritik,chanc,bevolker,konzept,diskussion,modell,ungerecht,schwach,struktur,reformi,wandel,dringend,forder,zugleich,red,wohlstand,zentral,modernisier,sollt,gestalt,setzt,verteil,kapitalismus,richtung,vorbild,mut,last,bildung,generation,globalisier,verwalt,steu,reich,bekampf,thema,solidaritat,leist,them,grundsatz,system,modern,bundesrepubl,kons,gleichzeit,gesund,braucht,kanzl,alternativ,umverteil,wettbewerb,breit,reformiert,beitrag,umsetz,durf,ansatz,angesicht,wirklich,gefordert,setz,sozialsystem,vernunft,sinn
 ,0.06,0.04,0.014,0.013,0.013,0.011,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic151,arbeitslos,job,hartz,arbeitsmarkt,iv,mindestlohn,beschaft,arbeitnehm,beschaftigt,arbeitslosengeld,arbeitsplatz,ba,lohn,arbeitgeb,bundesagentur,bundesanstalt,sozialhilf,empfang,ii,langzeitarbeitslos,leistung,clement,arbeitsamt,niedrig,bundesregier,gesetz,befristet,leiharbeit,sozial,schwarzarbeit,arbeitsmarktpolit,gering,reform,arbeitsminist,betroff,bezahlt,jobcent,erwerbslos,kundigungsschutz,arbeitslosenzahl,dgb,staatlich,vermittl,erwerbstat,bekomm,stund,zusatz,zeitarbeit,gerst,arbeitslosenquot,arbeitslosenhilf,einfuhr,einkomm,bezieh,ley,regular,arbeitskraft,arbeitsministerium,arbeitsagentur,nahl,sozialleist,schaff,beitrag,arbeitslosenversicher,sozialhilfeempfang,arbeitsmarktreform,tatig,gewerkschaft,jagoda,sozialversicherungspflicht,arbeitsverhaltnis,kommun,iab,statist,betrieb,bekampf,massnahm,anspruch,regel,ford,geringfug,gezahlt,minijob,ausserd,fordert,wirtschaftsminist,behord,gelt,gleich,kurzarbeit,grundsicher,teilzeit,gefordert,anreiz,grundeinkomm,geschaff,regelsatz,erhoh,arbeitsvermittl,firm
 ,0.054,0.028,0.026,0.022,0.02,0.02,0.014,0.013,0.011,0.011,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic152,ubernahm,fusion,konz,thyss,zusammenschluss,angebot,krupp,aktionar,konzern,stahl,konkurrent,ubernehm,akti,offert,ubernahmeangebot,weltweit,feindlich,deal,management,fusioniert,thyssenkrupp,gebot,zukauf,numm,zustimm,dusseldorf,zweitgrosst,zusamm,je,salzgitt,mittal,lse,stahlwerk,arcelor,transaktion,euronext,verschmelz,anteil,fusioni,bietet,zusammengeh,branch,wert,rival,grupp,ubernimmt,steel,stahlindustri,ubernomm,genehmigt,kartellbehord,ess,britisch,teilt,sitz,angekundigt,interess,klockn,entsteht,bors,synergi,stahlkonz,konsolidier,position,gescheitert,plan,anteilseign,entsteh,hiesing,bar,grossaktionar,kauft,genehm,strateg,biet,knapp,konzernchef,kaufpreis,kauf,zug,akquisition,gesprach,interessiert,drittgrosst,strategi,zuletzt,analyst,duisburg,aufsichtsrat,verkauf,verwaltungsrat,vorstandschef,fuhrend,klein,zugestimmt,zusammenleg,abgeschloss,franzos,aktientausch,gemeinsam
 ,0.064,0.053,0.026,0.024,0.021,0.021,0.02,0.018,0.015,0.013,0.013,0.011,0.011,0.01,0.007,0.007,0.007,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic153,islam,muslim,arab,saudi,islamist,arabi,lad,qaida,religios,mosche,radikal,terror,kampf,grupp,jem,katar,abu,emirat,fundamentalist,saudisch,osama,religion,extremist,dubai,fuhr,scheich,terrorist,riad,terrorismus,kopftuch,botschaft,westlich,sunnit,heilig,anti,septemb,organisation,golf,vereinigt,nah,anhang,christ,angeb,glaub,imam,schiitisch,verbot,koran,unterstutz,bahrain,leb,dhabi,kuwait,afghanistan,abdullah,trag,jemenit,salafist,saudis,prinz,gefahr,west,mind,scharia,christlich,golfstaat,militant,dschihad,krieg,sanaa,konigreich,schiit,anschlag,ziel,vertret,prophet,herrsch,verbind,predig,beweg,ausland,region,kronprinz,bedroh,ost,gewalt,gott,hauptstadt,geistlich,einfluss,salman,unterstutzt,seh,dschihadist,ramadan,pakistan,staatlich,mekka,syri,hass
 ,0.05,0.039,0.022,0.021,0.02,0.019,0.015,0.014,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
