topic0,bank,allianz,institut,kund,dresdn,frankfurt,sparkass,munch,landesbank,kredit,versicher,commerzbank,geschaft,ruck,privat,hvb,westlb,kreditinstitut,hypovereinsbank,grossbank,versich,tocht,beteil,offent,postbank,bayer,fusion,grosst,bankgesellschaft,rating,verkauf,halt,hypo,breu,gut,risik,risikovorsorg,vereinsbank,beid,sowi,etwa,derzeit,finanzdienstleist,geldhaus,dabei,sprech,filial,drei,stark,geldinstitut,zurich,berat,rund,rechtlich,lebensversicher,anteil,bilanzsumm,schad,privatbank,agentur,ubs,ausland,ausserd,vermogensverwalt,vorstandssprech,allerding,credit,hypothek,bish,hypothekenbank,vermog,chef,moglich,bankhaus,haus,eigenkapital,gross,gerling,heisst,kapital,gesamt,axa,osterreich,dg,basel,mlp,international,investmentbank,ca,direktbank,genossenschaft,gehor,austria,privatkund,laut,beteiligt,leasing,ruckversicher,banking,finanzier
 ,0.038,0.028,0.026,0.02,0.015,0.012,0.012,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic44,milliard,finanzminist,regier,bund,eichel,geld,haushalt,wirtschaft,reform,steu,bundesregier,erhoh,ausgab,euro,iwf,offent,defizit,steuerreform,zusatz,schuld,geplant,staatlich,staat,waigel,finanzier,mittel,plan,einnahm,bundesfinanzminist,drei,entlast,kredit,musst,investition,mehrwertsteu,finanziell,senkung,kommend,kost,forder,finanzministerium,etat,etwa,subvention,senk,hilf,abbau,massnahm,einspar,spar,jahrlich,summ,finanzi,rund,programm,kurzung,finanzpolit,finanziert,teil,allein,minist,zehn,sowi,belast,finanz,vorgeseh,kommun,wahrungsfond,derzeit,steuersenk,beschloss,burg,insgesamt,angesicht,davon,abgab,steuerzahl,gemeind,wirtschaftspolit,wenig,drastisch,neuverschuld,last,ziel,notwend,steinbruck,beitrag,zud,gewerbesteu,funf,steuererhoh,vorschlag,notig,dafur,fliess,budget,komm,gesenkt,zuschuss,erheb
 ,0.048,0.016,0.014,0.013,0.012,0.012,0.012,0.012,0.011,0.01,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic45,ausland,bonn,innenminist,beamt,schily,behord,illegal,polizei,fluchtling,amt,burg,bundesregier,gefahr,moglich,geb,straftat,bekampf,schutz,zahl,auswart,person,inn,organisiert,fordert,minist,beim,grenz,musst,bericht,staat,kanth,bundesinnenminist,einwand,konnt,bish,konn,kontroll,kriminalitat,offent,bundesrepubl,innenministerium,dat,abschieb,durf,asylbewerb,dien,verfassungsschutz,pass,verfolg,sollt,hart,recht,massnahm,zustand,besond,dafur,betroff,stell,asyl,integration,ausweis,visa,zuwander,justizminist,ausserd,sowi,scharf,darauf,staatsburgerschaft,bka,tat,uberwach,ap,doppelt,beckstein,kriminell,berlin,arbeit,missbrauch,sprech,verscharf,lebend,ministerium,staatssekretar,bess,komm,abgeschob,lauschangriff,antrag,verbrech,bleib,verscharft,deshalb,erhalt,sprach,lang,gefordert,kritisiert,heisst,innenpolit
 ,0.03,0.02,0.013,0.011,0.009,0.009,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic46,britisch,london,grossbritanni,blair,regier,pfund,sinn,brit,woch,tag,jedoch,england,hatt,nordirland,letzt,labour,premierminist,fein,irisch,end,erklart,premi,beid,konnt,tim,fall,fruh,gross,protestant,dabei,nachd,monat,zeitung,montag,macht,gemacht,drei,zuvor,englisch,bekannt,teil,entscheid,bislang,jung,lass,the,fuhr,offenbar,dafur,of,geh,bericht,insel,grosst,konservativ,irland,grund,darauf,ab,belfast,donnerstag,gab,nah,chef,wenig,beginn,zweit,moglich,sprech,davon,wichtig,gegeb,dageg,kam,dienstag,schritt,bring,anfang,geb,gilt,and,mai,dublin,party,derzeit,gegenub,bbc,minist,steh,zukunft,gekomm,versuch,kathol,halt,juli,wahrschein,steht,international,mittwoch,inzwisch
 ,0.056,0.045,0.023,0.017,0.013,0.01,0.01,0.01,0.009,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic47,telekom,post,wettbewerb,bonn,preis,rwe,energi,strom,kund,eon,beim,anbiet,netz,gas,viag,markt,rund,privat,kunftig,versorg,kartellamt,veba,etwa,telekommunikation,ess,derzeit,ab,bundeskartellamt,bish,rag,konkurrent,liberalisier,energieversorg,ruhrgas,konkurrenz,geplant,dusseldorf,moglich,entscheid,ag,angebot,konzern,konnt,pfennig,kost,gross,stadtwerk,regulierungsbehord,tarif,pro,anteil,dafur,monopol,gunstig,billig,sowi,geb,dabei,behord,halt,fest,enbw,chef,ausland,verbrauch,stromversorg,rexrodt,betont,regional,erdgas,verband,fall,kraftwerk,konn,investition,jedoch,sprech,gebuhr,call,stark,betreib,erheb,gesprach,konz,deutlich,sieht,drei,vertrag,beteil,bericht,anschluss,komm,verfug,erhalt,davon,staatlich,allerding,on,end,zunach
 ,0.031,0.017,0.016,0.013,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic48,eu,europa,kommission,brussel,staat,union,national,europas,beitritt,schwed,vertrag,erweiter,gemeinsam,parlament,mitglied,kommissar,gipfel,frankreich,regier,entscheid,vorschlag,gemeinschaft,aussenminist,kunftig,regierungschef,verfass,wahrungsunion,mitgliedsstaat,niederland,mitgliedstaat,rat,schwedisch,danemark,strassburg,danisch,osteuropa,osterreich,van,stockholm,grossbritanni,aufnahm,maastricht,streit,finnland,europaparlament,reform,beim,ministerrat,portugal,spani,belgi,richtlini,bish,bundeskanzl,mitgliedsland,griechenland,zustand,fordert,beihilf,kommissionsprasident,burg,mitgliedschaft,prodi,subvention,verheug,treff,kopenhag,binnenmarkt,fall,gipfeltreff,stabilitatspakt,geht,frag,ziel,prasidentschaft,wichtig,bundesregier,norweg,integration,diplomat,monti,durf,finnisch,europaweit,geb,dageg,auss,ecu,mehrheit,stark,kriteri,aussenpolit,bundesrepubl,allerding,erfull,behord,mittel,einfuhr,barroso,interess
 ,0.116,0.107,0.039,0.037,0.02,0.017,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic49,china,international,chines,staat,peking,welt,usa,wirtschaft,asi,weltweit,regier,hongkong,ausland,chinas,taiwan,wto,organisation,konferenz,genf,australi,japan,asiat,kanada,menschenrecht,handel,region,besuch,entwicklungsland,weltbank,entwickl,thailand,wichtig,global,singapur,bezieh,kanad,austral,arm,reich,dritt,westlich,kris,bericht,grosst,stark,afrika,abkomm,indi,offiziell,industrieland,zusammenarbeit,welthandelsorganisation,pazif,gipfel,industriestaat,entwicklungshilf,vereinigt,zoll,schanghai,volksrepubl,jiang,vietnam,vertret,treff,reis,tibet,gross,armut,malaysia,export,nation,sudostasi,neuseeland,letzt,globalisier,mitglied,zud,dissident,fortschritt,armst,konnt,bish,provinz,national,wachsend,unterstutz,hilf,kommunist,staatlich,fordert,zehn,end,forum,markt,zugang,bangkok,rund,offnung,sowi,oecd
 ,0.038,0.027,0.02,0.019,0.017,0.014,0.014,0.011,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic50,sz,gibt,frag,geht,imm,gut,ganz,ja,sag,tun,wer,richtig,halt,klar,deshalb,dafur,warum,beispiel,natur,wiss,einfach,kommt,heut,fall,probl,seh,interview,wenig,gar,genau,komm,geb,wichtig,wirklich,geh,brauch,uberhaupt,hatt,darub,bess,gross,moglich,glaub,gerad,daran,leut,davon,steht,lass,nein,eigent,entscheid,find,grund,schnell,darum,sach,thema,falsch,gemacht,darf,bekomm,schwierig,problem,macht,vielleicht,nehm,niemand,darauf,mensch,denk,genug,liegt,antwort,mal,eben,braucht,tatsach,mocht,gesagt,heisst,stell,unterschied,erfahr,red,gleich,wann,ding,musst,schlecht,trotzd,geld,herr,oft,arbeit,dabei,teil,bleibt,gilt,lasst
 ,0.042,0.025,0.017,0.013,0.012,0.012,0.012,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic51,kirch,kathol,papst,frau,mensch,leb,ii,gesellschaft,islam,muslim,welt,religios,staat,christlich,vatikan,evangel,glaub,christ,bischof,recht,heilig,kardinal,rom,gott,religion,erklar,mind,gemeinsam,kultur,ehe,frag,wort,freiheit,sprach,offent,gibt,sozial,staatlich,gerecht,dialog,durf,glaubig,heisst,orthodox,besuch,abtreib,vertret,imm,gross,vorsitz,priest,rat,fuhr,trag,geistlich,kna,wert,fried,bischofskonferenz,organisation,kirchlich,homosexuell,mitglied,erzbischof,teil,besond,geb,jahrhundert,statt,grupp,gewalt,berat,stell,gemeinschaft,gemeind,streit,feiertag,zeich,gegenub,alt,off,moral,kopftuch,verbot,steh,theolog,seh,grund,steht,wenig,kreuz,famili,jung,geword,etwa,pfarr,person,epd,mehrheit,kind
 ,0.029,0.014,0.012,0.012,0.011,0.01,0.01,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic52,durft,allerding,fall,woch,konnt,halt,tag,moglich,derzeit,erwart,end,deshalb,jedoch,darauf,wenig,druck,seh,letzt,sieht,komm,gross,davon,angesicht,folg,tatsach,geb,schwierig,kaum,grund,zumind,wahrschein,wohl,steh,lang,bleib,geh,eher,sicht,entscheid,meint,schnell,dennoch,musst,offenbar,bleibt,sorg,lass,steht,rechn,expert,gibt,chanc,situation,bish,dafur,wichtig,beobacht,hoffnung,moglicherweis,zukunft,klar,kommt,trotz,sogar,gut,stark,jung,dah,gefahr,problem,zeigt,deutlich,liess,zuletzt,heisst,bald,vermut,gilt,lag,unsich,darub,ohnehin,zweifel,ahnlich,befurcht,einschatz,aussicht,vorsicht,off,scheint,zunach,rasch,gerat,meinung,uberrasch,fest,schwer,bislang,massiv,vorerst
 ,0.016,0.016,0.014,0.014,0.014,0.014,0.011,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002
topic53,drei,platz,gut,spiel,fast,wenig,vier,gross,funf,zweit,zehn,beim,etwa,meist,liegt,allerding,dabei,wichtig,kam,umfrag,besond,fussball,letzt,halft,sogar,knapp,konnt,schlecht,hoch,drittel,grosst,befragt,dritt,acht,sech,beid,mal,dageg,studi,erfolg,erreicht,zeigt,gab,stark,best,deutlich,ergebnis,sieb,lieg,kommt,zahl,geht,insgesamt,verein,jeweil,hatt,laut,roll,imm,vergleich,sport,zufried,rang,wert,viertel,gleich,verlor,wm,ab,allein,bess,zwolf,ganz,lag,stell,elf,steht,abstand,demnach,spielt,gering,vorn,ledig,eher,komm,team,list,unterschied,neun,halt,club,viert,ging,davon,gibt,folg,danach,seh,fuhrt,bedeut
 ,0.016,0.016,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic54,cdu,fdp,csu,union,kohl,merkel,stoib,bonn,vorsitz,partei,ministerprasident,bundeskanzl,kanzl,schaubl,generalsekretar,chef,liberal,berlin,westerwell,wahlkampf,parteitag,frag,rau,bundestagswahl,bayer,mollemann,stellvertret,red,merz,debatt,koalition,klar,woll,bundesprasident,bundestag,wahl,fraktionschef,zeitung,glos,diskussion,entscheid,landtagswahl,kanzlerkandidat,spd,fordert,streit,konn,ruttg,vorschlag,waigel,parteichef,sprach,kinkel,parteivorsitz,thema,bay,spitz,woch,amt,bayern,ruh,geh,gross,chefin,delegiert,off,geb,kanzlerin,prasidium,kritik,halt,beim,fraktion,fuhrung,hatt,mitglied,deutlich,seehof,fraktionsvorsitz,hessisch,westfal,dafur,jung,stark,landesvorsitz,viz,position,nordrhein,montag,macht,fruh,wort,person,reih,gemeinsam,landesverband,unterstutz,fuhrend,steh,bundesregier
 ,0.062,0.036,0.036,0.031,0.028,0.018,0.017,0.016,0.014,0.014,0.011,0.009,0.009,0.008,0.008,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic55,ganz,ja,gut,wer,mal,wort,gar,vielleicht,sag,imm,lieb,wohl,tag,natur,red,mann,hatt,wiss,gern,welt,alt,leut,paar,eigent,lasst,einfach,eben,gerad,namlich,wirklich,sach,herr,lass,nie,heisst,beim,bild,art,satz,warum,aug,les,kopf,nam,richtig,kommt,geht,streiflicht,leb,jedenfall,beispiel,mag,gleich,macht,manchmal,gibt,ding,geschicht,genau,jemand,tun,gesagt,gewiss,eher,bissch,mocht,sogar,oft,heiss,hor,fragt,ziemlich,hort,uberhaupt,endlich,halt,her,freilich,hand,denk,tut,frag,ubrig,bitt,leid,all,recht,darf,buch,wahr,gesicht,herz,wund,wusst,sinn,lach,stuck,nein,wahrheit,leicht
 ,0.009,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic56,dollar,euro,europa,wahrung,bundesbank,us,zentralbank,yen,frankfurt,gold,ezb,notenbank,kostet,zins,kur,bank,wirtschaft,gegenub,uhr,stark,devis,japan,offent,schwach,london,donnerstag,sz,geldpolit,leicht,wahrungsunion,wert,usa,niedrig,handl,fest,je,feinunz,finanzmarkt,amerikan,inflation,dienstag,gab,gemeinschaftswahr,mittwoch,fiel,fed,spat,leitzins,mittag,preis,markt,notiert,greenspan,deutlich,gehandelt,lag,erwartet,hoch,pfund,zinssenk,stabil,stand,new,goldpreis,montag,einfuhr,handel,york,kurzfrist,devisenmarkt,nachmittag,nachmittagsfixing,tief,zinserhoh,duisenberg,frank,lira,rat,munz,mark,druck,abwert,erreicht,unverandert,jung,nachd,international,gefall,ab,stieg,niveau,abend,zon,tietmey,beim,vortag,konjunktur,vergleich,kurs,analyst
 ,0.082,0.041,0.02,0.016,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic57,monat,end,januar,marz,juni,mai,april,juli,oktob,septemb,drei,dezemb,woch,novemb,februar,vier,anfang,tag,sech,funf,angab,teilt,ab,mitt,geplant,schweiz,kommend,reis,zehn,rund,zwolf,beginn,sieb,letzt,erstmal,tourist,hotel,neun,tui,voraussicht,angekundigt,zuvor,acht,ursprung,insgesamt,termin,zunach,ath,verschob,zweit,mitteilt,sowi,nachd,zufolg,bekannt,griechisch,verlangert,sprech,lloyd,danach,erwartet,erneut,zuruck,gegeb,jedoch,mindest,erklart,verschieb,bern,tourismus,innerhalb,spatest,hiess,derzeit,gab,herb,endgult,etwa,offiziell,bish,vorgeseh,reiseveranstalt,beschloss,vorlauf,frist,begonn,elf,grund,fest,montag,griechenland,entsprech,bestatigt,jeweil,beendet,knapp,vorig,beginnt,kam,kundigt
 ,0.039,0.036,0.028,0.027,0.023,0.023,0.023,0.021,0.021,0.02,0.02,0.02,0.019,0.018,0.017,0.016,0.014,0.014,0.014,0.012,0.011,0.01,0.01,0.01,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic58,arzt,kass,medizin,mensch,medikament,patient,krankenkass,gesund,krankenhaus,etwa,krankheit,krank,seehof,behandl,versichert,klinik,zahl,konnt,gesundheitsreform,aid,forschung,gesundheitswes,mittel,kost,gesetz,pharma,apothek,schering,fall,musst,versorg,menschlich,rauch,moglich,folg,ulla,gefahr,berlin,test,arznei,bish,patent,expert,wissenschaftl,merck,krankenversicher,ministerin,leistung,wenig,forsch,gen,geb,zulass,hatt,roch,kassenarzt,zigarett,stark,aok,grund,beitrag,gesundheitsministerin,erhalt,betroff,verband,ab,zahnarzt,beim,studi,schwer,arzneimittel,einzeln,wissenschaft,zuzahl,erkrank,gesundheitspolit,ausserd,stammzell,verbot,erreg,behandelt,virus,herstell,leb,therapi,biotechnologi,dabei,bestimmt,arztlich,leid,entwickl,allein,infiziert,halt,geh,klon,ausgab,firma,gentechn,untersuch
 ,0.017,0.014,0.011,0.01,0.009,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic59,markt,geschaft,umsatz,produkt,kund,branch,handel,mark,etwa,rund,preis,einzelhandel,gut,grupp,herstell,geschaftsfuhr,verkauf,quell,firma,verkauft,drei,stark,karstadt,gross,metro,marktanteil,ausland,anbiet,zehn,grosst,handl,angebot,verbrauch,filial,funf,werbung,mitarbeit,lad,setzt,einkauf,koln,imm,dusseldorf,wenig,sieht,beim,konkurrenz,kett,firm,trend,inzwisch,wettbewerb,dabei,marketing,betrieb,hamburg,vier,adidas,henkel,rew,warenhaus,neb,discount,marktfuhr,gehor,eroffnet,knapp,heut,spar,beschaftigt,mod,familienunternehm,meint,weltweit,schuh,macht,davon,halt,nam,jedoch,vertrieb,wal,kauf,gegrundet,supermarkt,haus,expansion,zunehm,qualitat,sortiment,kaufhaus,billig,design,gesamt,europa,dageg,zahl,konkurrent,besond,verstarkt
 ,0.014,0.014,0.012,0.01,0.01,0.01,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
